index,Country,Cases,Cases_2020,Cases_2021,Cases_2022,Cases_week,Deaths,Deaths_2020,Deaths_2021,Deaths_2022,Deaths_week,Fully_vaccinated,Vaccinated_booster
128,Micronesia (country),22203.0,0.0,1,22202.0,0.0000,58.0,0.0,0,58.0,3.7536,0.0,0.0
129,Moldova,594754.0,144818.0,231337,218599.0,12.1340,11913.0,2985.0,7290,1638.0,0.3056,32.79,11.68
130,Monaco,15339.0,875.0,4110,10354.0,563.7399,65.0,3.0,35,27.0,0.0000,0.0,0.0
131,Mongolia,991824.0,1220.0,388141,602463.0,105.2604,2134.0,1.0,2058,75.0,0.0420,0.0,0.0
132,Montenegro,283644.0,48247.0,121787,113610.0,32.8050,2789.0,682.0,1729,378.0,0.0000,45.43,16.19
133,Montserrat,1403.0,13.0,33,1357.0,0.0000,8.0,1.0,0,7.0,0.0000,44.19,11.56
134,Morocco,1268396.0,439193.0,523899,305304.0,4.1227,16284.0,7388.0,7461,1435.0,0.0039,62.77,18.45
135,Mozambique,230590.0,18642.0,170438,41510.0,0.2037,2224.0,166.0,1840,218.0,0.0000,47.92,2.38
136,Myanmar,633167.0,124630.0,406204,102333.0,0.4271,19488.0,2682.0,16586,220.0,0.0026,50.84,4.11
137,Namibia,169946.0,23941.0,124033,21972.0,0.0000,4080.0,205.0,3428,447.0,0.0000,20.31,3.97
138,Nauru,4621.0,0.0,0,4621.0,33.7697,1.0,0.0,0,1.0,0.0000,67.65,39.91
139,Nepal,1000878.0,260593.0,567838,172447.0,0.1263,12019.0,1856.0,9738,425.0,0.0000,77.74,28.15
140,Netherlands,8550114.0,798437.0,2339505,5412172.0,45.8811,22997.0,11459.0,9540,1998.0,0.1220,68.08,53.62
141,New Caledonia,75258.0,38.0,12788,62432.0,118.7360,314.0,0.0,281,33.0,0.0000,63.5,32.41
142,New Zealand,1945225.0,2162.0,11956,1931107.0,745.3780,2212.0,25.0,26,2161.0,0.8266,79.75,65.75
143,Nicaragua,15232.0,6046.0,11441,-2255.0,0.2673,245.0,165.0,52,28.0,0.0000,84.01,0.0
144,Niger,9430.0,3323.0,4082,2025.0,0.0000,314.0,104.0,171,39.0,0.0000,19.75,0.0
145,Nigeria,266283.0,87607.0,153906,24770.0,0.0000,3155.0,1289.0,1741,125.0,0.0000,23.52,2.83
146,North Korea,1.0,0.0,0,1.0,0.0000,6.0,0.0,0,6.0,0.0000,0.0,0.0
147,North Macedonia,344710.0,83329.0,141720,119661.0,12.8964,9568.0,2503.0,5457,1608.0,0.0683,40.03,7.71
148,Norway,1468473.0,49567.0,344692,1074214.0,26.7611,4384.0,436.0,869,3079.0,1.0253,74.61,68.89
149,Oman,399027.0,128867.0,176622,93538.0,0.0000,4628.0,1499.0,2617,512.0,0.0000,66.62,17.04
150,Pakistan,1575124.0,482178.0,813755,279191.0,0.1279,30630.0,10176.0,18757,1697.0,0.0000,56.09,20.51
151,Palau,5684.0,0.0,10,5674.0,0.0000,7.0,0.0,0,7.0,0.0000,0.0,0.0
152,Palestine,703036.0,138004.0,331744,233288.0,0.0000,5708.0,1400.0,3519,789.0,0.0000,33.85,6.42
153,Panama,995726.0,246790.0,249130,499806.0,100.5506,8519.0,4022.0,3406,1091.0,0.1296,71.66,45.34
154,Papua New Guinea,45819.0,780.0,35378,9661.0,0.0000,668.0,9.0,581,78.0,0.0000,3.0,0.3
155,Paraguay,718164.0,107932.0,358169,252063.0,1.9593,19621.0,2262.0,14362,2997.0,0.0631,52.01,28.9
156,Peru,4227446.0,1015137.0,1281694,1930615.0,262.7177,217370.0,93070.0,109620,14680.0,0.4447,83.24,80.53
157,Philippines,4033682.0,474064.0,2369915,1189703.0,9.5993,64594.0,9244.0,42260,13090.0,0.1459,63.77,18.03
158,Poland,6351315.0,1294878.0,2813337,2243100.0,8.8639,118306.0,28554.0,68500,21252.0,0.1147,56.7,37.81
