State,Measure,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
Puerto Rico,PFINeigh6,1,1,2,2,2,2,2,2,2,3,3,2
Vermont,PFINeigh6,5,5.5,2.5,4.5,3,3,3.5,4.5,5,3.5,3,4
Montana,PFINeigh6,3,3,3,2,1,2,0,3,3,2,2,0
Wisconsin,PFINeigh6,4.87,4.82,4.83,4.73,4.69,5,4.56,5.13,4.86,4.78,5,4.33
Kansas,PFINeigh6,4.2,4,6,4.75,4.33,5.5,6,5,7,7,0,0
District of Columbia,PFINeigh6,4,6,5.5,4.5,7,7,5.5,6,7,0,7,7
Louisiana,PFINeigh6,3.63,4.13,4.14,4.29,3.5,3.83,3.5,3.86,3.17,3,3.33,3.17
Minnesota,PFINeigh6,3.71,3.71,4.75,4.4,5,4,5,5,5,0,3,5
South Carolina,PFINeigh6,4.31,4.64,4.56,4,5.11,4.38,5.17,4.88,5.13,4.8,4.2,4
Iowa,PFINeigh6,4.29,4,3.25,4,3.5,3.33,1,3.5,4,2,2,3
New Jersey,PFINeigh6,4.68,4.43,5.05,4.89,4.32,5.38,5.9,4.8,5.36,4.83,5.11,5
Nebraska,PFINeigh6,4.6,4.75,3.6,4.2,5.5,4.5,4,4.25,3.67,4.75,4.33,3.67
New Hampshire,PFINeigh6,4.25,4.33,4,3.67,3.5,3.67,4,3.33,3.5,4,3.5,4
Mississippi,PFINeigh6,3,3.67,3,3.5,3,3,4,3.25,4,3.67,3.5,4.5
none,PFINeigh6,5.33,2.67,5,4,5,3.5,3,3.5,3.5,0,0,4
Rhode Island,PFINeigh6,3.5,5,3,6,5,0,3,3,0,0,4,3.5
Nevada,PFINeigh6,3.86,3.6,4,4.5,3.4,3.83,3.2,3.83,3.4,3.6,3.6,3
Delaware,PFINeigh6,4,5,5,1,1.5,1,4,3,2,3.5,3,2
Connecticut,PFINeigh6,3.2,4.5,4,4,4,4,5,3,5,4,5,3
